7c01878254daadbb91f5b1137b7404d952e3931b|||||DYNAMIC_CONTENT_UPDATED|||||drivers/gpu/drm/drm_edid.c|||||70@@DRM_DEBUG_KMS "ELD size %d, SAD count %d\n" drm_eld_size eld sad_count|||||70@@DRM_DEBUG_KMS "ELD size %d, SAD count %d\n" drm_eld_size eld total_sad_count
2dca3d9e1440162a959d8b2942293bfc6ac14a19|||||STATIC_CONTENT_UPDATED|||||drivers/rtc/rtc-rv3029c2.c|||||70@@dev_err & client -> dev "can't set INT reg\n"|||||70@@dev_err & client -> dev "can't update INT reg\n"
2dca3d9e1440162a959d8b2942293bfc6ac14a19|||||STATIC_CONTENT_UPDATED|||||drivers/rtc/rtc-rv3029c2.c|||||70@@dev_err & client -> dev "can't set alarm flag\n"|||||70@@dev_err & client -> dev "can't clear alarm flag\n"
509466b7d480bc5d22e90b9fbe6122ae0e2fbe39|||||STATIC_CONTENT_UPDATED|||||Documentation/scheduler/sched-pelt.c|||||70@@printf "static const u32 runnable_avg_yN_inv[] = {"|||||70@@printf "static const u32 runnable_avg_yN_inv[] __maybe_unused = {"
661262bc3e0ecc9a1aed39c6b2a99766da2c22e2|||||STATIC_CONTENT_UPDATED|||||drivers/net/ethernet/hisilicon/hns3/hns3_enet.c|||||70@@dev_err & pdev -> dev "Can't recover - error happened during device init\n"|||||70@@dev_err & pdev -> dev "Can't recover - error happened before device initialized\n"
de24f638025a0bfef2ea81396382358df2c7c875|||||DYNAMIC_CONTENT_UPDATED|||||drivers/net/wireless/intel/iwlwifi/mvm/tx.c|||||70@@IWL_DEBUG_TX mvm "station Id %d, queue=%d\n" sta_id info . hw_queue|||||70@@IWL_DEBUG_TX mvm "station Id %d, queue=%d\n" sta_id queue
e33e33b4d1c699d06fb8ccd6da80b309b84ec975|||||LOGGING_FUNCTION_UPDATED+STATIC_CONTENT_UPDATED|||||mm/memory_hotplug.c|||||70@@printk KERN_DEBUG "online_pages [mem %#010llx-%#010llx] failed\n" ( unsigned long long ) pfn << PAGE_SHIFT ( ( ( unsigned long long ) pfn + nr_pages ) << PAGE_SHIFT ) - 1|||||70@@pr_debug "online_pages [mem %#010llx-%#010llx] failed\n" ( unsigned long long ) pfn << PAGE_SHIFT ( ( ( unsigned long long ) pfn + nr_pages ) << PAGE_SHIFT ) - 1
e33e33b4d1c699d06fb8ccd6da80b309b84ec975|||||LOGGING_FUNCTION_UPDATED+STATIC_CONTENT_UPDATED|||||mm/memory_hotplug.c|||||70@@printk KERN_INFO "Offlined Pages %ld\n" offlined_pages|||||70@@pr_info "Offlined Pages %ld\n" offlined_pages
e33e33b4d1c699d06fb8ccd6da80b309b84ec975|||||LOGGING_FUNCTION_UPDATED+STATIC_CONTENT_UPDATED|||||mm/memory_hotplug.c|||||70@@printk KERN_INFO "memory offlining [mem %#010llx-%#010llx] failed\n" ( unsigned long long ) start_pfn << PAGE_SHIFT ( ( unsigned long long ) end_pfn << PAGE_SHIFT ) - 1|||||70@@pr_debug "memory offlining [mem %#010llx-%#010llx] failed\n" ( unsigned long long ) start_pfn << PAGE_SHIFT ( ( unsigned long long ) end_pfn << PAGE_SHIFT ) - 1
e33e33b4d1c699d06fb8ccd6da80b309b84ec975|||||LOGGING_FUNCTION_UPDATED+STATIC_CONTENT_UPDATED|||||mm/memory_hotplug.c|||||70@@printk KERN_ALERT "removing pfn %lx from LRU failed\n" pfn|||||70@@pr_alert "removing pfn %lx from LRU failed\n" pfn
7c6f670052f12a24dc3785ae0179d8199a76cd50|||||LOGGING_FUNCTION_UPDATED+DYNAMIC_CONTENT_UPDATED|||||fs/btrfs/tests/extent-map-tests.c|||||70@@ASSERT ret == 0|||||70@@test_err "cannot add extent range [0, 8K)"
